Model,,,,,,,
Parameters,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,PNG,Z_index
LED 0,1,110,43,144,51,,1
LED 1,1,146,43,213,51,,1
LED 2,1,217,43,279,70,NH_led04.png,1
LED 3,1,271,73,279,134,,1
LED 4,1,271,136,279,197,,1
LED 5,1,271,200,279,261,,1
LED 6,1,271,264,279,325,,1
LED 7,1,217,328,279,353,NH_led03.png,1
LED 8,1,146,346,213,353,,1
LED 9,1,76,346,143,353,,1
LED 10,1,10,328,75,353,NH_led02.png,1
LED 11,1,10,264,17,325,,1
LED 12,1,10,200,17,261,,1
LED 13,1,10,136,17,197,,1
LED 14,1,10,43,33,134,NH_led01.png,1
